tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
1589.00;6_2_2;200.00;13.50;1542.00;0.00;5_6_0;5.10;0.00;tripinfo_1542;47.00;1542;0;494.90;1.01;0.00;11.57;DEFAULT_VEHTYPE;;1;2.00
1592.00;6_7_0;400.00;13.55;170.00;0.00;7_3_0;5.10;0.00;tripinfo_170;1422.00;170;0;1194.90;1.07;0.00;1340.72;DEFAULT_VEHTYPE;;18;1207.00
1596.00;6_5_0;300.00;13.55;997.00;0.00;2_6_0;5.10;0.00;tripinfo_997;599.00;997;0;494.90;1.04;0.00;564.61;DEFAULT_VEHTYPE;;4;535.00
1600.00;2_1_1;300.00;12.66;218.00;0.00;2_3_0;5.10;0.00;tripinfo_218;1382.00;218;0;1494.90;0.94;0.00;1267.06;DEFAULT_VEHTYPE;;19;1115.00
1605.00;6_5_0;300.00;12.36;189.00;0.00;2_3_0;5.10;0.00;tripinfo_189;1416.00;189;0;1294.90;0.97;0.00;1318.75;DEFAULT_VEHTYPE;;22;1158.00
1617.00;2_3_2;400.00;5.36;737.00;0.00;1_2_0;5.10;0.00;tripinfo_737;880.00;737;0;694.90;0.97;0.00;828.12;DEFAULT_VEHTYPE;;9;763.00
1617.00;2_3_0;400.00;5.44;533.00;0.00;8_7_0;5.10;0.00;tripinfo_533;1084.00;533;0;1294.90;0.80;0.00;967.77;DEFAULT_VEHTYPE;;11;885.00
1639.00;7_8_0;300.00;14.79;1566.00;2.00;5_6_0;5.10;0.00;tripinfo_1564;73.00;1564;0;994.90;1.08;0.00;6.64;DEFAULT_VEHTYPE;;0;0.00
1640.00;3_4_0;300.00;12.98;720.00;0.00;2_3_0;5.10;0.00;tripinfo_720;920.00;720;0;694.90;0.99;0.00;868.94;DEFAULT_VEHTYPE;;8;807.00
1651.00;3_4_1;300.00;12.77;788.00;0.00;2_3_0;5.10;0.00;tripinfo_788;863.00;788;0;694.90;1.00;0.00;812.35;DEFAULT_VEHTYPE;;8;749.00
